2.3,10.3,6.0,799.7,318.0,1097.0,1303.0,424.0,75.0,340.0,55.0
2.3,10.2,6.3,796.7,323.0,1117.0,1318.0,434.0,71.0,336.0,52.0
2.5,10.2,7.3,781.7,323.0,1061.0,1357.0,429.0,71.0,347.0,54.0
2.9,11.6,11.3,854.7,342.0,1071.0,1320.0,420.0,73.0,302.0,50.0
2.5,11.7,7.7,849.7,303.0,1102.0,1380.0,440.0,75.0,321.0,54.0
2.7,10.2,7.0,794.7,337.0,1045.0,1373.0,407.0,72.0,348.0,60.0
2.5,10.9,5.7,851.0,347.0,1126.0,1371.0,414.0,70.0,312.0,58.0
2.5,12.2,6.3,855.0,318.0,1103.0,1392.0,442.0,71.0,338.0,58.0
2.4,11.7,6.3,855.0,340.0,1115.0,1332.0,403.0,73.0,341.0,54.0
3.0,11.1,15.3,855.0,330.0,1131.0,1392.0,408.0,71.0,312.0,54.0
2.5,11.0,9.0,855.0,337.0,1043.0,1314.0,446.0,71.0,305.0,51.0
2.8,10.3,16.0,816.7,346.0,1079.0,1319.0,400.0,73.0,340.0,54.0
2.9,10.5,19.3,842.7,323.0,1138.0,1355.0,408.0,70.0,314.0,53.0
2.6,10.2,11.0,818.3,342.0,1164.0,1302.0,418.0,73.0,323.0,54.0
3.1,10.0,19.3,809.0,342.0,1017.0,1382.0,434.0,73.0,305.0,52.0
2.5,10.1,8.7,820.3,312.0,1192.0,1380.0,440.0,74.0,312.0,60.0
2.7,10.8,15.0,843.0,339.0,1143.0,1376.0,402.0,70.0,343.0,50.0
2.9,11.2,15.7,854.7,336.0,1102.0,1397.0,431.0,74.0,320.0,60.0
3.0,10.9,17.0,854.7,323.0,1056.0,1302.0,436.0,71.0,316.0,54.0
3.5,10.2,33.3,784.7,318.0,1072.0,1400.0,404.0,70.0,306.0,55.0
3.6,10.6,40.0,826.7,315.0,1052.0,1364.0,428.0,71.0,300.0,55.0
3.7,10.6,40.3,852.7,320.0,1160.0,1371.0,444.0,72.0,322.0,55.0
4.1,11.5,53.3,855.0,330.0,1048.0,1386.0,416.0,72.0,339.0,56.0
3.9,10.9,53.0,854.3,336.0,1080.0,1378.0,438.0,70.0,340.0,54.0
4.1,11.1,59.3,832.3,347.0,1199.0,1388.0,443.0,75.0,311.0,55.0
3.8,11.4,53.7,854.3,342.0,1146.0,1394.0,447.0,72.0,310.0,59.0
3.4,12.0,31.3,855.0,314.0,1171.0,1379.0,415.0,71.0,304.0,58.0
3.3,11.2,30.0,855.0,312.0,1112.0,1342.0,440.0,75.0,348.0,60.0
3.3,10.8,31.3,839.7,314.0,1179.0,1334.0,414.0,74.0,332.0,55.0
3.5,10.1,33.7,805.3,300.0,1082.0,1379.0,404.0,72.0,318.0,56.0
3.5,11.8,30.3,854.7,321.0,1086.0,1337.0,445.0,73.0,331.0,50.0
3.8,10.8,37.3,855.0,319.0,1090.0,1339.0,417.0,73.0,347.0,54.0
3.9,10.3,40.7,829.0,300.0,1176.0,1351.0,440.0,70.0,307.0,55.0
3.7,10.9,38.3,733.7,335.0,1180.0,1386.0,408.0,75.0,340.0,50.0
3.5,10.8,33.3,819.0,333.0,1003.0,1393.0,433.0,75.0,334.0,53.0
3.3,10.1,23.0,795.3,348.0,1132.0,1308.0,400.0,75.0,314.0,59.0
3.4,11.3,25.0,848.0,326.0,1106.0,1326.0,420.0,73.0,306.0,51.0
3.0,10.4,16.3,820.0,312.0,1147.0,1383.0,419.0,73.0,336.0,54.0
3.0,10.2,15.0,824.7,307.0,1012.0,1325.0,446.0,72.0,304.0,52.0
3.2,11.7,21.7,820.7,326.0,1109.0,1332.0,402.0,73.0,343.0,50.0
2.5,15.0,7.7,854.7,349.0,1019.0,1391.0,406.0,74.0,344.0,59.0
2.5,14.9,7.7,854.7,337.0,1158.0,1343.0,402.0,70.0,341.0,58.0
2.7,13.0,11.7,855.0,307.0,1078.0,1328.0,428.0,75.0,328.0,51.0
2.8,13.0,11.0,853.0,337.0,1043.0,1346.0,413.0,73.0,330.0,55.0
2.7,12.3,9.7,848.7,306.0,1026.0,1334.0,410.0,74.0,341.0,54.0
2.5,12.1,5.3,852.3,337.0,1001.0,1379.0,412.0,75.0,321.0,60.0
2.7,11.9,12.0,851.7,346.0,1012.0,1383.0,432.0,73.0,308.0,56.0
3.4,10.9,32.3,797.3,323.0,1054.0,1329.0,406.0,71.0,331.0,52.0
3.6,12.8,33.0,855.0,331.0,1054.0,1325.0,419.0,71.0,345.0,51.0
3.7,10.7,37.3,839.7,332.0,1122.0,1354.0,438.0,70.0,323.0,57.0
3.9,10.4,45.0,791.0,347.0,1099.0,1393.0,404.0,70.0,310.0,57.0
4.1,11.2,49.0,849.3,310.0,1196.0,1315.0,418.0,73.0,349.0,55.0
4.5,12.1,55.3,854.7,308.0,1192.0,1300.0,431.0,71.0,312.0,50.0
3.9,13.1,38.7,855.0,307.0,1140.0,1394.0,415.0,73.0,333.0,53.0
3.0,14.3,16.0,855.0,335.0,1127.0,1365.0,441.0,71.0,311.0,60.0
3.1,15.1,19.7,854.7,305.0,1045.0,1316.0,448.0,74.0,303.0,54.0
3.0,13.7,16.7,851.3,334.0,1104.0,1306.0,433.0,70.0,310.0,51.0
3.0,13.8,19.0,855.0,345.0,1130.0,1342.0,437.0,70.0,313.0,57.0
3.3,11.9,24.7,851.0,307.0,1046.0,1321.0,430.0,75.0,300.0,54.0
2.5,11.6,6.7,853.3,342.0,1093.0,1349.0,409.0,74.0,310.0,50.0
2.5,10.1,7.0,735.7,329.0,1129.0,1388.0,412.0,75.0,301.0,55.0
2.6,10.9,9.3,836.3,304.0,1180.0,1375.0,449.0,75.0,336.0,52.0
2.7,10.9,10.7,815.0,345.0,1110.0,1373.0,402.0,73.0,305.0,51.0
2.6,10.8,10.0,830.3,324.0,1010.0,1397.0,436.0,71.0,303.0,58.0
2.8,13.8,8.3,855.0,320.0,1145.0,1304.0,446.0,75.0,346.0,53.0
2.5,10.8,8.3,832.0,350.0,1017.0,1363.0,410.0,75.0,336.0,54.0
2.9,10.2,12.7,827.0,342.0,1075.0,1332.0,444.0,72.0,343.0,54.0
2.6,11.6,6.7,816.0,306.0,1159.0,1318.0,427.0,75.0,336.0,59.0
2.8,10.8,15.0,813.3,304.0,1190.0,1337.0,450.0,70.0,317.0,51.0
2.7,10.0,9.0,766.3,342.0,1196.0,1346.0,447.0,74.0,314.0,50.0
2.7,10.1,9.7,643.0,300.0,1088.0,1308.0,424.0,70.0,333.0,58.0
2.7,10.6,6.0,775.3,343.0,1124.0,1344.0,420.0,70.0,305.0,55.0
2.6,10.5,7.7,811.0,305.0,1175.0,1348.0,408.0,70.0,329.0,53.0
2.9,10.9,15.7,848.0,315.0,1169.0,1374.0,429.0,75.0,314.0,51.0
2.9,11.3,17.7,848.7,307.0,1180.0,1377.0,437.0,72.0,350.0,56.0
